crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
cabbage,black,fruit/bulb formation,43.34,18.01,88.24,12.9,Yes
tomato,chalky,maturation,17.26,20.55,40.38,1.96,No
potato,black,flowering,39.43,25.31,81.57,2.91,Yes
Turmeric,sandy,maturation,26.92,20.81,80.58,13.39,Yes
mustard,sandy,maturation,27.47,16.9,64.19,0.79,No
beans,alluvial,maturation,29.82,20.05,72.76,7.21,Yes
cabbage,loam,fruit/bulb formation,41.15,20.98,78.17,10.15,Yes
mustard,clay,germination,35.58,18.48,67.9,1.66,No
Paddy (rice),clay,fruit/bulb formation,46.7,18.33,49.84,1.4,No
Maize (corn),sandy,maturation,31.67,27.29,59.94,4.27,Yes
Ginger,alluvial,flowering,43.53,26.41,77.8,6.99,Yes
Turmeric,black,fruit/bulb formation,31.97,25.82,77.91,13.77,Yes
Maize (corn),red,harvest,31.0,17.7,50.0,2.96,Yes
orange,black,harvest,18.53,23.75,68.56,0.64,No
radish,chalky,maturation,18.32,18.75,44.54,0.81,No
soyabeans,sandy,harvest,22.07,26.07,87.15,8.64,Yes
orange,loam,germination,30.87,33.15,53.74,2.9,Yes
orange,clay,flowering,40.63,23.43,63.28,4.8,Yes
Maize (corn),red,harvest,30.43,30.99,87.86,4.34,Yes
peas,black,maturation,21.86,32.01,87.71,1.87,No
soyabeans,chalky,fruit/bulb formation,45.0,33.67,67.14,1.62,No
Paddy (rice),chalky,germination,32.03,25.41,59.58,4.53,Yes
tomato,red,germination,32.13,19.75,81.37,16.43,Yes
Large Cardamom,alluvial,harvest,19.51,26.15,42.86,1.22,No
tomato,red,fruit/bulb formation,39.07,16.58,71.97,9.95,Yes
beans,alluvial,fruit/bulb formation,41.69,15.25,65.87,4.25,Yes
Ginger,red,maturation,27.38,21.21,41.9,2.11,Yes
mustard,clay,germination,26.9,26.05,66.17,1.27,No
bananas,clay,harvest,28.08,24.59,83.0,11.12,Yes
Paddy (rice),chalky,germination,34.98,21.33,73.55,12.58,Yes
Large Cardamom,red,maturation,28.94,21.1,46.72,0.69,No
Paddy (rice),clay,germination,24.77,21.57,46.29,0.29,No
tomato,clay,maturation,28.09,26.9,51.99,2.86,Yes
bananas,red,maturation,23.33,31.29,72.5,1.05,No
soyabeans,chalky,flowering,42.26,21.18,79.21,19.93,Yes
Maize (corn),clay,fruit/bulb formation,39.14,25.85,53.05,0.98,No
mustard,alluvial,flowering,38.89,29.17,78.5,16.31,Yes
orange,alluvial,flowering,37.09,16.1,40.89,4.96,Yes
tomato,black,flowering,33.98,32.67,77.81,3.01,Yes
kiwi,loam,harvest,20.76,19.21,67.35,2.74,Yes
mustard,alluvial,germination,36.84,29.46,56.83,1.96,No
soyabeans,clay,harvest,20.93,34.5,55.66,0.57,No
beans,loam,maturation,20.74,33.6,81.15,0.71,No
soyabeans,sandy,flowering,37.05,17.02,54.46,4.2,Yes
peas,black,fruit/bulb formation,42.53,33.74,77.1,2.58,Yes
sweet potato,loam,harvest,28.5,19.99,60.81,4.72,Yes
orange,clay,germination,26.9,16.5,49.32,1.38,No
peas,black,harvest,18.42,18.31,57.95,2.61,Yes
cabbage,sandy,maturation,21.5,16.89,69.77,1.0,No
beans,sandy,maturation,25.87,15.07,64.74,2.16,Yes
potato,loam,harvest,28.15,23.78,50.93,0.11,No
bananas,alluvial,flowering,37.03,15.54,41.38,3.51,Yes
sweet potato,clay,harvest,21.99,21.13,52.62,1.17,No
potato,loam,germination,24.48,31.76,45.78,3.69,Yes
potato,red,harvest,26.79,15.81,87.9,1.15,No
Paddy (rice),black,germination,32.46,17.85,81.17,17.34,Yes
Turmeric,sandy,flowering,33.27,17.84,88.37,15.76,Yes
Turmeric,red,flowering,40.13,23.63,54.91,1.98,No
Ginger,red,germination,28.96,32.54,89.24,2.67,Yes
orange,loam,harvest,23.74,30.94,69.96,0.9,No
Ginger,loam,flowering,39.63,16.28,50.51,3.38,Yes
Turmeric,black,flowering,41.11,23.09,77.75,16.45,Yes
peas,black,flowering,37.76,34.17,65.09,4.45,Yes
Paddy (rice),sandy,flowering,38.9,22.16,83.96,11.44,Yes
sweet potato,chalky,harvest,23.2,18.69,76.39,13.17,Yes
sweet potato,loam,maturation,21.09,32.16,74.95,4.99,Yes
mustard,loam,fruit/bulb formation,44.68,23.29,83.66,13.89,Yes
cabbage,loam,maturation,18.56,32.91,58.33,1.79,No
kiwi,black,maturation,27.75,21.65,83.65,11.2,Yes
papaya,loam,maturation,26.02,18.55,48.71,4.54,Yes
peas,black,harvest,30.27,33.02,71.51,4.11,Yes
peas,sandy,harvest,20.66,20.71,54.33,2.32,Yes
Maize (corn),red,flowering,35.16,16.91,57.09,1.82,No
orange,chalky,fruit/bulb formation,42.7,31.78,50.09,0.71,No
Maize (corn),clay,harvest,21.51,20.28,85.67,2.12,Yes
orange,red,maturation,32.05,31.16,70.86,4.72,Yes
bananas,sandy,germination,28.82,28.48,55.06,1.9,No
Ginger,red,fruit/bulb formation,43.83,24.6,50.4,1.14,No
sweet potato,alluvial,flowering,37.82,34.54,86.37,3.3,Yes
beans,red,flowering,35.18,20.97,84.04,7.82,Yes
soyabeans,black,maturation,20.9,16.54,61.06,4.51,Yes
Turmeric,black,flowering,37.04,17.47,75.83,7.68,Yes
orange,black,maturation,18.23,21.7,61.77,4.62,Yes
Ginger,chalky,flowering,40.57,20.33,60.59,3.06,Yes
peas,sandy,maturation,25.66,27.24,40.69,1.54,No
sweet potato,sandy,maturation,33.72,16.66,46.58,3.19,Yes
bananas,loam,maturation,31.2,31.17,47.47,2.01,Yes
Paddy (rice),sandy,harvest,26.09,18.39,86.13,8.88,Yes
orange,alluvial,flowering,30.2,30.21,77.41,1.11,No
Large Cardamom,sandy,germination,30.01,28.24,42.84,1.66,No
Maize (corn),red,germination,26.5,34.34,53.37,3.21,Yes
papaya,alluvial,germination,35.99,29.86,70.26,16.41,Yes
potato,alluvial,fruit/bulb formation,47.08,27.37,62.46,0.35,No
Large Cardamom,red,germination,36.52,23.84,57.92,2.74,Yes
cabbage,chalky,germination,32.42,16.64,65.26,4.21,Yes
Turmeric,black,maturation,18.9,34.49,45.98,1.81,No
soyabeans,sandy,germination,23.28,22.07,60.82,4.18,Yes
Maize (corn),alluvial,germination,34.44,19.2,59.06,1.91,No
soyabeans,black,flowering,34.46,23.04,85.83,19.32,Yes
tomato,red,fruit/bulb formation,33.31,28.85,85.37,17.61,Yes
papaya,red,maturation,31.61,29.14,53.46,0.77,No
potato,black,flowering,32.16,29.34,63.53,2.43,Yes
Large Cardamom,black,harvest,25.91,32.68,82.88,1.1,No
mustard,red,germination,28.71,28.45,53.67,2.23,Yes
Maize (corn),alluvial,fruit/bulb formation,46.03,27.26,71.87,12.86,Yes
soyabeans,black,flowering,45.89,26.08,57.44,2.94,Yes
bananas,sandy,maturation,27.94,32.83,76.21,2.04,Yes
bananas,loam,maturation,23.32,33.15,71.73,1.1,No
bananas,red,fruit/bulb formation,43.77,26.69,70.95,6.21,Yes
Paddy (rice),sandy,maturation,27.14,24.71,86.13,10.54,Yes
sweet potato,chalky,germination,23.22,28.54,55.02,3.67,Yes
orange,alluvial,maturation,29.61,25.36,53.78,3.82,Yes
Turmeric,alluvial,maturation,27.86,20.81,86.49,13.32,Yes
Paddy (rice),sandy,maturation,29.88,20.25,83.67,14.81,Yes
beans,alluvial,fruit/bulb formation,37.27,27.93,81.74,1.22,No
kiwi,alluvial,germination,30.06,32.85,58.36,4.3,Yes
Large Cardamom,alluvial,flowering,37.26,17.58,65.57,1.55,No
kiwi,clay,germination,34.08,34.56,57.12,4.99,Yes
sweet potato,loam,flowering,35.36,15.46,74.01,14.5,Yes
mustard,chalky,fruit/bulb formation,42.34,34.04,56.24,2.85,Yes
potato,chalky,flowering,36.02,21.62,67.62,2.23,Yes
Large Cardamom,clay,maturation,28.77,29.86,88.8,1.49,No
Maize (corn),red,germination,31.17,20.25,53.21,0.82,No
mustard,black,germination,31.05,31.54,55.14,3.08,Yes
bananas,loam,maturation,24.94,20.23,52.18,1.26,No
kiwi,clay,germination,22.86,30.09,66.81,4.79,Yes
soyabeans,clay,maturation,32.19,28.4,76.25,13.51,Yes
tomato,red,harvest,18.37,20.03,44.03,4.16,Yes
cabbage,loam,germination,33.99,31.51,54.1,1.32,No
bananas,alluvial,fruit/bulb formation,48.56,31.33,48.31,1.49,No
bananas,sandy,fruit/bulb formation,41.6,24.88,67.1,3.9,Yes
tomato,black,fruit/bulb formation,45.57,30.68,71.8,4.81,Yes
mustard,alluvial,fruit/bulb formation,44.19,29.48,42.31,3.3,Yes
kiwi,sandy,flowering,40.79,24.94,44.26,1.2,No
soyabeans,sandy,flowering,41.27,32.9,83.54,1.34,No
papaya,sandy,fruit/bulb formation,49.46,16.59,43.83,4.62,Yes
Turmeric,clay,flowering,34.03,15.3,75.17,7.47,Yes
papaya,clay,maturation,39.21,32.51,52.34,3.4,Yes
Maize (corn),loam,maturation,35.38,18.29,40.34,0.96,No
potato,sandy,harvest,15.84,18.72,78.15,11.62,Yes
Ginger,sandy,harvest,31.7,20.31,80.74,4.1,Yes
cabbage,loam,maturation,34.65,18.99,44.06,0.95,No
mustard,loam,harvest,26.31,22.22,49.07,4.56,Yes
tomato,red,flowering,33.94,18.11,41.44,0.92,No
beans,alluvial,flowering,35.09,34.76,78.98,0.98,No
bananas,loam,harvest,17.3,23.48,87.41,8.48,Yes
Large Cardamom,sandy,germination,21.66,27.08,63.76,0.7,No
soyabeans,clay,maturation,28.62,17.12,42.53,4.71,Yes
Turmeric,sandy,germination,24.57,15.34,64.84,1.0,No
peas,red,harvest,17.19,24.97,60.36,3.64,Yes
Turmeric,chalky,fruit/bulb formation,32.82,32.56,83.33,4.9,Yes
tomato,alluvial,germination,28.85,30.0,86.03,3.94,Yes
sweet potato,loam,flowering,38.74,19.47,52.4,4.12,Yes
potato,sandy,flowering,39.86,19.87,88.0,6.28,Yes
cabbage,black,flowering,35.17,32.65,82.09,3.66,Yes
kiwi,clay,flowering,34.98,18.46,85.42,3.94,Yes
Ginger,clay,flowering,39.8,24.19,47.44,3.1,Yes
cabbage,black,harvest,12.55,21.08,69.57,4.08,Yes
bananas,loam,maturation,19.5,24.35,65.22,3.32,Yes
Paddy (rice),chalky,germination,31.51,30.92,73.62,4.95,Yes
tomato,clay,germination,35.82,32.65,80.37,4.79,Yes
Ginger,red,flowering,33.48,33.95,62.79,4.42,Yes
tomato,sandy,maturation,28.11,32.07,86.5,3.01,Yes
kiwi,black,maturation,29.09,30.79,65.04,2.35,Yes
beans,sandy,fruit/bulb formation,47.07,32.98,64.74,0.14,No
peas,sandy,flowering,35.48,25.76,70.52,13.72,Yes
orange,loam,flowering,42.98,28.59,55.57,4.64,Yes
Maize (corn),clay,flowering,33.89,26.81,41.84,0.51,No
Ginger,black,fruit/bulb formation,43.1,33.79,84.19,4.41,Yes
kiwi,sandy,germination,26.67,24.62,52.13,3.46,Yes
tomato,chalky,germination,33.31,21.31,44.82,0.95,No
radish,chalky,flowering,44.72,20.02,84.2,18.64,Yes
sweet potato,clay,harvest,21.46,33.49,44.05,3.91,Yes
bananas,clay,harvest,26.99,22.95,76.45,12.66,Yes
kiwi,chalky,harvest,17.61,23.59,68.19,0.29,No
bananas,black,germination,24.72,34.0,64.4,3.65,Yes
Maize (corn),red,maturation,25.72,23.02,48.9,3.45,Yes
bananas,red,maturation,30.94,31.85,66.05,1.76,No
sweet potato,sandy,germination,31.89,34.83,89.44,3.78,Yes
Large Cardamom,red,maturation,16.94,29.03,63.04,2.07,Yes
cabbage,red,harvest,17.47,33.29,72.59,2.58,Yes
mustard,black,maturation,29.63,28.83,61.05,1.25,No
orange,clay,fruit/bulb formation,35.9,15.82,62.68,3.63,Yes
soyabeans,black,harvest,20.88,20.42,81.69,11.14,Yes
cabbage,sandy,germination,36.08,17.19,42.9,4.38,Yes
orange,loam,maturation,25.29,25.23,54.09,2.62,Yes
bananas,chalky,harvest,22.25,19.29,89.89,18.55,Yes
kiwi,black,fruit/bulb formation,36.65,22.21,43.64,1.54,No
tomato,alluvial,germination,28.36,30.36,85.45,0.07,No
potato,red,harvest,24.92,27.06,80.76,3.25,Yes
Ginger,red,harvest,14.57,25.29,52.73,1.16,No
Maize (corn),loam,flowering,37.44,28.76,42.0,2.66,Yes
soyabeans,chalky,harvest,13.75,22.91,49.87,1.65,No
beans,loam,harvest,20.23,24.88,83.56,14.85,Yes
sweet potato,black,maturation,26.67,17.11,78.2,2.9,Yes
tomato,alluvial,harvest,28.6,30.43,45.63,1.22,No
beans,red,germination,28.32,21.68,64.64,3.17,Yes
cabbage,black,flowering,32.86,17.9,88.57,19.77,Yes
orange,red,harvest,18.88,26.29,52.9,4.63,Yes
mustard,loam,flowering,36.09,21.47,63.54,4.3,Yes
soyabeans,clay,maturation,25.22,23.92,88.87,18.14,Yes
peas,sandy,flowering,32.54,16.02,73.21,18.48,Yes
radish,sandy,fruit/bulb formation,43.51,26.22,82.13,16.83,Yes
sweet potato,clay,fruit/bulb formation,46.98,19.61,63.18,2.08,Yes
beans,sandy,germination,32.49,31.69,56.93,1.13,No
mustard,clay,fruit/bulb formation,50.09,24.51,87.48,17.13,Yes
sweet potato,red,fruit/bulb formation,43.54,26.02,71.01,12.16,Yes
radish,black,fruit/bulb formation,48.35,29.86,47.61,2.2,Yes
papaya,loam,harvest,18.53,23.49,71.55,10.71,Yes
Maize (corn),red,flowering,37.16,20.22,60.22,2.55,Yes
Paddy (rice),black,flowering,29.01,33.12,51.38,1.35,No
papaya,red,fruit/bulb formation,41.48,18.68,46.5,2.5,Yes
Paddy (rice),loam,fruit/bulb formation,51.52,29.53,51.36,0.05,No
beans,chalky,fruit/bulb formation,52.6,22.88,85.56,5.91,Yes
papaya,loam,fruit/bulb formation,50.44,19.62,52.28,4.35,Yes
tomato,black,maturation,31.47,20.64,59.64,0.2,No
Maize (corn),alluvial,maturation,31.45,23.38,55.77,3.28,Yes
Ginger,red,germination,26.7,15.38,73.19,15.99,Yes
soyabeans,red,maturation,20.3,15.98,89.71,1.51,No
orange,chalky,germination,24.42,19.86,77.78,18.38,Yes
beans,black,harvest,14.31,31.07,84.77,0.01,No
Paddy (rice),black,harvest,31.09,17.87,71.4,5.13,Yes
mustard,sandy,maturation,26.9,26.41,67.08,1.97,No
bananas,sandy,harvest,25.3,23.5,61.81,3.71,Yes
peas,clay,maturation,33.3,25.5,80.43,1.67,No
Turmeric,chalky,harvest,30.71,25.59,52.86,3.87,Yes
Maize (corn),black,maturation,25.29,18.48,88.82,18.13,Yes
tomato,black,germination,33.94,28.04,51.53,4.56,Yes
cabbage,black,germination,24.6,18.56,40.02,4.85,Yes
peas,black,harvest,20.75,22.61,50.05,3.09,Yes
kiwi,sandy,germination,26.08,24.15,53.75,4.58,Yes
tomato,red,harvest,25.43,31.12,53.02,1.73,No
Ginger,red,maturation,33.87,29.65,64.96,2.79,Yes
radish,red,harvest,23.73,21.54,40.04,1.81,No
peas,loam,flowering,35.26,28.79,77.47,16.78,Yes
radish,alluvial,maturation,21.98,18.96,66.42,4.24,Yes
Ginger,chalky,harvest,30.98,26.74,87.35,9.42,Yes
Paddy (rice),clay,fruit/bulb formation,53.5,15.49,53.47,4.38,Yes
mustard,clay,harvest,32.07,17.74,47.85,3.18,Yes
Paddy (rice),red,maturation,28.98,21.81,42.29,2.66,Yes
Large Cardamom,alluvial,germination,26.96,17.43,68.38,3.3,Yes
Paddy (rice),sandy,maturation,36.03,26.96,48.62,4.41,Yes
cabbage,loam,flowering,30.61,22.08,84.22,14.66,Yes
peas,red,maturation,21.18,20.6,59.74,0.19,No
beans,red,germination,30.33,34.32,72.31,1.03,No
bananas,clay,maturation,26.31,32.79,83.5,4.3,Yes
potato,clay,germination,28.36,16.74,47.27,0.09,No
tomato,clay,maturation,19.37,31.78,53.13,3.01,Yes
kiwi,sandy,fruit/bulb formation,34.28,15.98,43.52,4.32,Yes
Paddy (rice),red,flowering,42.74,22.01,44.75,1.68,No
potato,alluvial,germination,31.65,17.12,41.27,4.88,Yes
Paddy (rice),black,germination,30.54,29.94,77.3,9.77,Yes
sweet potato,chalky,harvest,21.92,16.29,84.67,5.26,Yes
mustard,clay,harvest,23.05,22.0,85.39,9.68,Yes
papaya,chalky,maturation,20.83,18.02,55.33,0.81,No
Paddy (rice),loam,harvest,25.38,26.46,43.98,1.56,No
beans,red,fruit/bulb formation,51.67,19.44,52.89,2.66,Yes
bananas,loam,maturation,21.47,34.69,76.25,1.92,No
mustard,loam,germination,28.79,20.99,80.08,17.86,Yes
tomato,sandy,harvest,22.79,15.02,75.29,16.29,Yes
Large Cardamom,loam,fruit/bulb formation,36.99,27.8,53.1,2.69,Yes
beans,clay,harvest,33.45,33.75,56.24,2.76,Yes
Turmeric,black,flowering,41.57,34.95,76.73,0.55,No
radish,sandy,maturation,31.61,24.39,53.66,2.21,Yes
Ginger,sandy,flowering,30.24,22.93,62.84,0.93,No
beans,sandy,harvest,21.24,28.44,67.18,0.34,No
Large Cardamom,red,maturation,33.34,28.47,77.67,13.64,Yes
orange,alluvial,flowering,36.61,30.37,63.29,1.86,No
orange,chalky,germination,29.21,24.85,74.26,4.62,Yes
cabbage,red,germination,26.73,23.93,73.7,6.79,Yes
cabbage,sandy,fruit/bulb formation,52.18,15.68,55.13,4.95,Yes
beans,red,flowering,29.99,29.36,78.31,14.74,Yes
Turmeric,sandy,germination,31.66,16.89,52.0,0.49,No
cabbage,loam,harvest,16.7,29.16,58.52,3.38,Yes
peas,clay,fruit/bulb formation,40.6,26.38,60.0,3.69,Yes
kiwi,loam,germination,36.24,16.59,61.69,2.88,Yes
bananas,sandy,fruit/bulb formation,36.85,19.9,50.22,2.64,Yes
orange,alluvial,harvest,26.38,29.49,89.79,1.57,No
Turmeric,red,flowering,38.74,15.12,76.85,15.33,Yes
papaya,sandy,maturation,17.63,26.41,84.27,6.72,Yes
Paddy (rice),loam,harvest,20.96,34.08,63.13,2.72,Yes
radish,chalky,harvest,25.93,18.21,65.51,0.86,No
Large Cardamom,chalky,harvest,25.66,24.3,59.85,4.28,Yes
cabbage,black,germination,31.74,29.96,66.83,3.78,Yes
soyabeans,loam,germination,32.26,22.87,60.65,0.45,No
mustard,chalky,flowering,32.37,17.19,74.54,12.96,Yes
Large Cardamom,chalky,germination,32.44,22.29,64.36,4.9,Yes
Maize (corn),black,flowering,28.0,31.35,81.79,0.92,No
peas,alluvial,fruit/bulb formation,43.88,31.51,48.56,2.87,Yes
Maize (corn),alluvial,maturation,36.19,31.38,70.33,3.68,Yes
bananas,red,flowering,41.55,22.83,85.39,3.18,Yes
peas,clay,fruit/bulb formation,40.36,18.76,79.06,7.11,Yes
papaya,black,flowering,49.02,19.45,77.84,3.42,Yes
Large Cardamom,sandy,maturation,33.59,17.73,73.35,9.17,Yes
beans,black,fruit/bulb formation,32.38,32.71,58.44,2.31,Yes
mustard,black,fruit/bulb formation,35.69,33.35,56.75,4.08,Yes
tomato,loam,maturation,26.24,19.06,86.91,6.46,Yes
mustard,red,fruit/bulb formation,36.63,22.01,73.82,7.29,Yes
Paddy (rice),clay,germination,27.19,19.16,76.97,12.26,Yes
radish,red,harvest,24.05,21.72,61.7,4.57,Yes
mustard,chalky,germination,31.41,19.99,76.52,1.11,No
tomato,sandy,germination,29.07,22.99,84.86,13.78,Yes
mustard,red,maturation,26.26,21.49,62.29,0.68,No
cabbage,sandy,fruit/bulb formation,30.68,17.05,64.48,1.49,No
papaya,chalky,harvest,23.64,28.7,45.47,0.38,No
peas,chalky,harvest,28.33,26.52,77.18,10.43,Yes
radish,chalky,harvest,25.01,28.09,60.23,0.01,No
kiwi,clay,fruit/bulb formation,41.38,18.18,80.87,9.39,Yes
soyabeans,red,germination,30.56,31.54,48.9,4.9,Yes
Ginger,black,flowering,45.41,23.06,75.24,3.36,Yes
kiwi,red,maturation,24.46,27.36,53.71,3.12,Yes
radish,black,maturation,35.17,29.67,86.76,9.91,Yes
peas,black,maturation,31.61,31.6,55.91,4.37,Yes
potato,loam,fruit/bulb formation,36.88,30.05,43.57,2.25,Yes
potato,alluvial,harvest,14.46,19.85,83.51,7.31,Yes
Large Cardamom,red,flowering,33.09,25.91,49.39,4.9,Yes
kiwi,sandy,fruit/bulb formation,39.09,27.4,84.55,15.17,Yes
sweet potato,loam,fruit/bulb formation,52.02,19.3,45.54,1.33,No
papaya,black,fruit/bulb formation,38.1,19.71,80.49,8.94,Yes
radish,sandy,fruit/bulb formation,51.99,25.55,63.19,0.69,No
cabbage,black,flowering,42.57,20.41,86.59,3.76,Yes
orange,red,germination,24.18,15.92,62.45,2.98,Yes
beans,clay,harvest,26.93,25.74,68.91,0.72,No
sweet potato,loam,fruit/bulb formation,45.32,28.25,88.42,14.76,Yes
cabbage,chalky,harvest,28.42,17.66,79.8,19.54,Yes
Turmeric,clay,harvest,30.1,27.5,86.18,1.87,No
kiwi,clay,germination,27.05,25.88,78.97,13.57,Yes
radish,chalky,germination,33.41,17.29,60.22,3.16,Yes
soyabeans,red,maturation,18.31,33.0,65.65,1.03,No
potato,loam,germination,28.27,26.69,46.81,4.99,Yes
soyabeans,loam,flowering,31.11,31.05,47.09,2.47,Yes
beans,alluvial,fruit/bulb formation,41.47,31.83,72.06,0.07,No
Paddy (rice),black,harvest,14.45,27.38,65.18,1.9,No
tomato,chalky,fruit/bulb formation,44.13,27.21,79.2,5.56,Yes
beans,chalky,fruit/bulb formation,45.8,24.93,81.77,5.92,Yes
orange,alluvial,flowering,44.59,29.31,86.33,9.99,Yes
potato,red,germination,34.33,29.21,75.22,13.94,Yes
Turmeric,sandy,germination,30.66,22.91,75.07,14.42,Yes
soyabeans,chalky,germination,26.65,25.08,59.56,4.92,Yes
sweet potato,clay,germination,28.6,15.37,71.35,12.62,Yes
Maize (corn),alluvial,flowering,36.71,28.91,54.63,0.86,No
bananas,clay,harvest,20.67,33.95,74.02,3.48,Yes
sweet potato,clay,maturation,36.59,29.33,80.56,17.88,Yes
Turmeric,sandy,maturation,20.86,32.29,54.84,1.75,No
papaya,alluvial,flowering,33.09,26.68,75.88,7.24,Yes
peas,black,fruit/bulb formation,40.66,30.23,59.42,0.98,No
kiwi,clay,flowering,37.21,25.9,60.46,4.12,Yes
Large Cardamom,loam,fruit/bulb formation,44.41,16.91,82.42,16.05,Yes
potato,alluvial,fruit/bulb formation,47.99,26.5,45.53,4.01,Yes
peas,alluvial,harvest,12.26,19.89,54.92,4.39,Yes
Turmeric,black,germination,29.71,21.97,85.17,19.76,Yes
sweet potato,alluvial,fruit/bulb formation,45.03,33.82,61.47,2.93,Yes
orange,chalky,germination,30.83,23.43,78.36,19.87,Yes
soyabeans,sandy,maturation,22.27,28.28,83.84,18.01,Yes
sweet potato,red,germination,30.81,15.48,52.81,4.94,Yes
kiwi,red,harvest,10.72,15.62,61.9,2.99,Yes
orange,loam,germination,33.94,18.26,62.9,0.73,No
Ginger,black,harvest,17.44,32.71,87.4,4.83,Yes
soyabeans,alluvial,maturation,30.6,17.78,61.63,4.83,Yes
