crop,soil_type,Seedling Stage,Moisture,Temperature,Humidity,Rainfall,Result
Wheat,Black Soil,Germination,42,44,32.5,211.24,0
Wheat,Black Soil,Germination,43,45,30,240.79,0
Wheat,Black Soil,Germination,44,46,27.5,190.41,0
Wheat,Black Soil,Germination,45,25,80,113.37,0
Wheat,Black Soil,Germination,46,26,77.3,69.67,0
Wheat,Black Soil,Germination,47,27,74.6,21.97,0
Wheat,Black Soil,Germination,48,28,71.9,21.23,0
Wheat,Black Soil,Germination,49,29,69.2,0,0
Wheat,Black Soil,Germination,50,30,66.5,10.35,0
Wheat,Black Soil,Germination,51,31,63.8,29.05,0
Wheat,Black Soil,Germination,52,32,61.1,54.81,0
Wheat,Black Soil,Germination,53,33,58.4,94.62,0
Wheat,Black Soil,Germination,54,34,55.7,205.36,0
Wheat,Black Soil,Germination,55,35,53,259.68,0
Wheat,Black Soil,Germination,56,36,50.3,171.76,0
Wheat,Black Soil,Germination,57,37,47.6,119.58,0
Wheat,Black Soil,Germination,58,38,44.9,72.9,0
Wheat,Black Soil,Germination,59,39,42.2,17.12,0
Wheat,Black Soil,Germination,60,40,39.5,11.1,0
Wheat,Black Soil,Germination,61,41,36.8,0.14,0
Wheat,Black Soil,Germination,62,42,34.1,0,0
Wheat,Black Soil,Germination,63,43,31.4,21.73,0
Wheat,Black Soil,Germination,64,44,28.7,40.18,0
Wheat,Black Soil,Germination,65,45,26,100.08,0
Wheat,Black Soil,Germination,66,46,23.3,214.33,0
Wheat,Black Soil,Germination,67,25,80,245.19,0
Wheat,Black Soil,Germination,68,26,78,188.2,0
Wheat,Black Soil,Germination,69,27,76,126.39,0
Wheat,Black Soil,Germination,70,28,74,65.25,0
Wheat,Black Soil,Germination,71,29,72,22.85,0
Wheat,Black Soil,Germination,72,30,70,19.79,0
Wheat,Black Soil,Germination,73,31,68,10.37,0
Wheat,Black Soil,Germination,74,32,66,10.87,0
Wheat,Black Soil,Germination,75,33,64,22.68,0
Wheat,Black Soil,Germination,76,34,62,50.16,0
Wheat,Black Soil,Germination,77,35,60,105.13,0
Wheat,Black Soil,Germination,78,36,58,204.05,0
Wheat,Black Soil,Germination,79,37,56,245.68,0
Wheat,Black Soil,Germination,80,38,54,174.02,0
Wheat,Black Soil,Germination,81,39,52,126.78,0
Wheat,Black Soil,Germination,82,40,50,61.24,0
Wheat,Black Soil,Germination,83,41,48,23.08,0
Wheat,Black Soil,Germination,84,42,46,6.25,0
Wheat,Black Soil,Germination,85,43,44,0,0
Wheat,Black Soil,Germination,86,44,42,19.92,0
Wheat,Black Soil,Germination,87,45,40,30.35,0
Wheat,Black Soil,Germination,88,46,38,46.09,0
Wheat,Black Soil,Germination,89,25,80,87.51,0
Wheat,Black Soil,Germination,90,26,78,197.11,0
Wheat,Black Soil,Germination,91,27,76,267.83,0
Wheat,Black Soil,Germination,92,28,74,184.74,0
Wheat,Black Soil,Germination,93,29,72,122.95,0
Wheat,Black Soil,Germination,94,30,70,49.92,0
Wheat,Black Soil,Germination,95,31,68,13.91,0
Wheat,Black Soil,Germination,96,32,66,13.64,0
Wheat,Black Soil,Germination,97,33,64,14.32,0
Wheat,Black Soil,Germination,98,34,62,19.07,0
Wheat,Black Soil,Germination,99,35,60,21.49,0
Wheat,Black Soil,Germination,100,36,58,41.91,0
Wheat,Black Soil,Seedling Stage,1,37,56,93.8,1
Wheat,Black Soil,Seedling Stage,2,38,54,198.73,1
Wheat,Black Soil,Seedling Stage,3,39,52,253.5,1
Wheat,Black Soil,Seedling Stage,4,40,50,182.12,1
Wheat,Black Soil,Seedling Stage,5,41,48,128.66,1
Wheat,Black Soil,Seedling Stage,6,42,46,54.76,1
Wheat,Black Soil,Seedling Stage,7,43,44,23.71,1
Wheat,Black Soil,Seedling Stage,8,44,42,0,1
Wheat,Black Soil,Seedling Stage,9,45,40,0,1
Wheat,Black Soil,Seedling Stage,10,46,38,14.12,1
Wheat,Black Soil,Seedling Stage,11,25,80,19.63,1
Wheat,Black Soil,Seedling Stage,12,26,77,53.3,1
Wheat,Black Soil,Seedling Stage,13,27,74,105.35,1
Wheat,Black Soil,Seedling Stage,14,28,71,191.79,1
Wheat,Black Soil,Seedling Stage,15,29,68,261.79,1
Wheat,Black Soil,Seedling Stage,16,30,65,174.94,1
Wheat,Black Soil,Seedling Stage,17,31,62,97.03,1
Wheat,Black Soil,Seedling Stage,18,32,59,70.65,1
Wheat,Black Soil,Seedling Stage,19,33,56,25.86,1
Wheat,Black Soil,Seedling Stage,20,34,53,4.02,1
Wheat,Black Soil,Seedling Stage,21,35,50,0,1
Wheat,Black Soil,Seedling Stage,22,36,47,19.12,1
Wheat,Black Soil,Seedling Stage,23,37,44,28.83,1
Wheat,Black Soil,Seedling Stage,24,38,41,45.72,1
Wheat,Black Soil,Seedling Stage,25,39,38,97.97,1
Wheat,Black Soil,Seedling Stage,26,40,35,203.62,1
Wheat,Black Soil,Seedling Stage,27,41,32,253.63,1
Wheat,Black Soil,Seedling Stage,28,42,29,185.06,1
Wheat,Black Soil,Seedling Stage,29,43,26,124.6,1
Wheat,Black Soil,Seedling Stage,30,44,23,59.17,1
Wheat,Black Soil,Seedling Stage,31,45,20,27.87,1
Wheat,Black Soil,Seedling Stage,32,46,17,1.67,1
Wheat,Black Soil,Seedling Stage,33,25,80,0.93,1
Wheat,Black Soil,Seedling Stage,34,26,77,22.97,1
Wheat,Black Soil,Seedling Stage,35,27,74,23.2,1
Wheat,Black Soil,Seedling Stage,36,28,71,55.05,1
Wheat,Black Soil,Seedling Stage,37,29,68,92.68,1
Wheat,Black Soil,Seedling Stage,38,30,65,205.45,1
Wheat,Black Soil,Seedling Stage,39,31,62,251.67,1
Wheat,Black Soil,Seedling Stage,40,32,59,179.73,2
Wheat,Black Soil,Seedling Stage,41,33,56,116.45,2
Wheat,Black Soil,Seedling Stage,42,34,53,62.61,2
Wheat,Black Soil,Seedling Stage,43,35,50,18.46,2
Wheat,Black Soil,Seedling Stage,44,36,47,35.49,2
Wheat,Black Soil,Seedling Stage,45,37,44,3.57,2
Wheat,Black Soil,Seedling Stage,46,38,41,6.92,2
Wheat,Black Soil,Seedling Stage,47,39,38,20.79,2
Wheat,Black Soil,Seedling Stage,48,40,35,55.07,2
Wheat,Black Soil,Seedling Stage,49,41,32,100.75,2
Wheat,Black Soil,Seedling Stage,50,42,29,186.56,2
Wheat,Black Soil,Seedling Stage,51,43,26,255.97,0
Wheat,Black Soil,Seedling Stage,52,44,23,178.13,0
Wheat,Black Soil,Seedling Stage,53,45,20,106.33,0
Wheat,Black Soil,Seedling Stage,54,46,17,75.88,0
Wheat,Black Soil,Seedling Stage,55,25,80,12.56,0
Wheat,Black Soil,Seedling Stage,56,26,77,15.57,0
Wheat,Black Soil,Seedling Stage,57,27,74,11.29,0
Wheat,Black Soil,Seedling Stage,58,28,71,18.5,0
Wheat,Black Soil,Seedling Stage,59,29,68,19.21,0
Wheat,Black Soil,Seedling Stage,60,30,65,39.66,0
Wheat,Black Soil,Seedling Stage,61,31,62,102.9,0
Wheat,Black Soil,Seedling Stage,62,32,59,207.12,0
Wheat,Black Soil,Seedling Stage,63,33,56,257.5,0
Wheat,Black Soil,Seedling Stage,64,34,53,184.56,0
Wheat,Black Soil,Seedling Stage,65,35,50,121.31,0
Wheat,Black Soil,Seedling Stage,66,36,47,61.96,0
Wheat,Black Soil,Seedling Stage,67,37,44,12.43,0
Wheat,Black Soil,Seedling Stage,68,38,41,10.79,0
Wheat,Black Soil,Seedling Stage,69,39,38,21.06,0
Wheat,Black Soil,Seedling Stage,70,40,35,9.43,0
Wheat,Black Soil,Seedling Stage,71,41,32,26.62,0
Wheat,Black Soil,Seedling Stage,72,42,29,39.94,0
Wheat,Black Soil,Seedling Stage,73,43,26,85.36,0
Wheat,Black Soil,Seedling Stage,74,44,23,197.32,0
Wheat,Black Soil,Seedling Stage,75,45,20,244.15,0
Wheat,Black Soil,Seedling Stage,76,46,17,174.84,0
Wheat,Black Soil,Seedling Stage,77,25,80,133.15,0
Wheat,Black Soil,Seedling Stage,78,26,77.3,52.39,0
Wheat,Black Soil,Seedling Stage,79,27,74.6,18.38,0
Wheat,Black Soil,Seedling Stage,80,28,71.9,3.34,0
Wheat,Black Soil,Seedling Stage,81,29,69.2,19.36,0
Wheat,Black Soil,Seedling Stage,82,30,66.5,10.92,0
Wheat,Black Soil,Seedling Stage,83,31,63.8,23.22,0
Wheat,Black Soil,Seedling Stage,84,32,61.1,47.54,0
Wheat,Black Soil,Seedling Stage,85,33,58.4,103.28,0
Wheat,Black Soil,Seedling Stage,86,34,55.7,192.85,0
Wheat,Black Soil,Seedling Stage,87,35,53,237.49,0
Wheat,Black Soil,Seedling Stage,88,36,50.3,183.57,0
Wheat,Black Soil,Seedling Stage,89,37,47.6,130.25,0
Wheat,Black Soil,Seedling Stage,90,38,44.9,64.62,0
Wheat,Black Soil,Seedling Stage,91,39,42.2,11.21,0
Wheat,Black Soil,Seedling Stage,92,40,39.5,7.67,0
Wheat,Black Soil,Seedling Stage,93,41,36.8,3.38,0
Wheat,Black Soil,Seedling Stage,94,42,34.1,15.47,0
Wheat,Black Soil,Seedling Stage,95,43,31.4,20.94,0
Wheat,Black Soil,Seedling Stage,96,44,28.7,34.46,0
Wheat,Black Soil,Seedling Stage,97,45,26,111.27,0
Wheat,Black Soil,Seedling Stage,98,46,23.3,199.1,0
Wheat,Black Soil,Seedling Stage,99,25,80,248.9,0
Wheat,Black Soil,Seedling Stage,100,26,77,173.35,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,1,27,74,126.62,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,2,28,71,66.28,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,3,29,68,14.75,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,4,30,65,23.47,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,5,31,62,17.92,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,6,32,59,28.02,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,7,33,56,23.1,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,8,34,53,55.3,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,9,35,50,90.21,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,10,36,47,199.9,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,11,37,44,268.62,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,12,38,41,197.3,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,13,39,38,123.86,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,14,40,35,50.24,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,15,41,32,14.2,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,16,42,29,3.83,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,17,43,26,0,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,18,44,23,13.17,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,19,45,20,22.59,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,20,46,17,45.19,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,21,25,80,92.18,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,22,26,77.5,204.59,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,23,27,75,240.32,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,24,28,72.5,175.27,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,25,29,70,134.56,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,26,30,67.5,62.8,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,27,31,65,30.55,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,28,32,62.5,14.95,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,29,33,60,15.99,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,30,34,57.5,13.01,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,31,35,55,36.03,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,32,36,52.5,57.89,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,33,37,50,107.64,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,34,38,47.5,206.07,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,35,39,45,261.44,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,36,40,42.5,195.11,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,37,41,40,123.09,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,38,42,37.5,55.45,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,39,43,35,46.57,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,40,44,32.5,6.04,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,41,45,30,0,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,42,46,27.5,12.99,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,43,25,80,22.98,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,44,26,77.3,57.71,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,45,27,74.6,98.07,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,46,28,71.9,190.28,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,47,29,69.2,248.13,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,48,30,66.5,163.79,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,49,31,63.8,128.16,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,50,32,61.1,67.73,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,51,33,58.4,32.46,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,52,34,55.7,2.14,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,53,35,53,0,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,54,36,50.3,11.79,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,55,37,47.6,18.44,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,56,38,44.9,60.59,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,57,39,42.2,101.25,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,58,40,39.5,188.63,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,59,41,36.8,242.57,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,60,42,34.1,187.53,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,61,43,31.4,127.71,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,62,44,28.7,83.65,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,63,45,26,21.7,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,64,46,23.3,30.57,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,65,25,80,0,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,66,26,77,0,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,67,27,74,14.75,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,68,28,71,57.36,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,69,29,68,105.2,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,70,30,65,203.65,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,71,31,62,256.04,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,72,32,59,189.08,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,73,33,56,108.51,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,74,34,53,68.32,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,75,35,50,33.93,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,76,36,47,4.8,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,77,37,44,3.09,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,78,38,41,10.27,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,79,39,38,14.04,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,80,40,35,58.22,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,81,41,32,92.3,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,82,42,29,201.41,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,83,43,26,249.45,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,84,44,23,180.55,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,85,45,20,122.35,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,86,46,17,62.15,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,87,25,80,34.42,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,88,26,77,14.84,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,89,27,74,14.26,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,90,28,71,13.2,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,91,29,68,19.98,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,92,30,65,56.84,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,93,31,62,106.53,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,94,32,59,215.04,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,95,33,56,261.72,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,96,34,53,191.8,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,97,35,50,112.49,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,98,36,47,59.62,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,99,37,44,20.67,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,100,38,41,21.24,0
Wheat,Black Soil,Flowering,1,39,38,0,1
Wheat,Black Soil,Flowering,2,40,35,10.57,1
Wheat,Black Soil,Flowering,3,41,32,0,1
Wheat,Black Soil,Flowering,4,42,29,49.98,1
Wheat,Black Soil,Flowering,5,43,26,95.69,1
Wheat,Black Soil,Flowering,6,44,23,211.28,1
Wheat,Black Soil,Flowering,7,45,20,251.15,1
Wheat,Black Soil,Flowering,8,46,17,192.28,1
Wheat,Black Soil,Flowering,9,25,80,137.52,1
Wheat,Black Soil,Flowering,10,26,77,71.22,1
Wheat,Black Soil,Flowering,11,27,74,16.77,1
Wheat,Black Soil,Flowering,12,28,71,30.72,1
Wheat,Black Soil,Flowering,13,29,68,0,1
Wheat,Black Soil,Flowering,14,30,65,7.1,1
Wheat,Black Soil,Flowering,15,31,62,40.77,1
Wheat,Black Soil,Flowering,16,32,59,57.7,1
Wheat,Black Soil,Flowering,17,33,56,103.96,1
Wheat,Black Soil,Flowering,18,34,53,186.56,1
Wheat,Black Soil,Flowering,19,35,50,252.62,1
Wheat,Black Soil,Flowering,20,36,47,183.89,1
Wheat,Black Soil,Flowering,21,37,44,121.34,1
Wheat,Black Soil,Flowering,22,38,41,61.97,1
Wheat,Black Soil,Flowering,23,39,38,24.83,1
Wheat,Black Soil,Flowering,24,40,35,14.09,1
Wheat,Black Soil,Flowering,25,41,32,12.38,1
Wheat,Black Soil,Flowering,26,42,29,12.09,1
Wheat,Black Soil,Flowering,27,43,26,11.14,1
Wheat,Black Soil,Flowering,28,44,23,55.57,1
Wheat,Black Soil,Flowering,29,45,20,103.17,1
Wheat,Black Soil,Flowering,30,46,17,213.39,1
Wheat,Black Soil,Flowering,31,25,80,258.64,1
Wheat,Black Soil,Flowering,32,26,77,176.3,1
Wheat,Black Soil,Flowering,33,27,74,127.17,1
Wheat,Black Soil,Flowering,34,28,71,70.55,1
Wheat,Black Soil,Flowering,35,29,68,9.83,1
Wheat,Black Soil,Flowering,36,30,65,10.53,1
Wheat,Black Soil,Flowering,37,31,62,8.57,1
Wheat,Black Soil,Flowering,38,32,59,6.04,1
Wheat,Black Soil,Flowering,39,33,56,24.83,1
Wheat,Black Soil,Flowering,40,34,53,34.51,1
Wheat,Black Soil,Flowering,41,35,50,84.19,1
Wheat,Black Soil,Flowering,42,36,47,191.76,1
Wheat,Black Soil,Flowering,43,37,44,236.9,1
Wheat,Black Soil,Flowering,44,38,41,164.75,1
Wheat,Black Soil,Flowering,45,39,38,123.8,1
Wheat,Black Soil,Flowering,46,40,35,67.89,1
Wheat,Black Soil,Flowering,47,41,32,28.78,1
Wheat,Black Soil,Flowering,48,42,29,15.68,1
Wheat,Black Soil,Flowering,49,43,26,7.07,1
Wheat,Black Soil,Flowering,50,44,23,0,1
Wheat,Black Soil,Flowering,51,45,20,9.06,1
Wheat,Black Soil,Flowering,52,46,17,61.87,1
Wheat,Black Soil,Flowering,53,25,80,104.34,1
Wheat,Black Soil,Flowering,54,26,77,197.5,1
Wheat,Black Soil,Flowering,55,27,74,247.63,1
Wheat,Black Soil,Flowering,56,28,71,176.92,1
Wheat,Black Soil,Flowering,57,29,68,112.71,1
Wheat,Black Soil,Flowering,58,30,65,43.47,1
Wheat,Black Soil,Flowering,59,31,62,26.65,1
Wheat,Black Soil,Flowering,60,32,59,15.67,2
Wheat,Black Soil,Flowering,61,33,56,11.41,2
Wheat,Black Soil,Flowering,62,34,53,0,2
Wheat,Black Soil,Flowering,63,35,50,9.12,2
Wheat,Black Soil,Flowering,64,36,47,40.75,2
Wheat,Black Soil,Flowering,65,37,44,97.07,2
Wheat,Black Soil,Flowering,66,38,41,188.71,2
Wheat,Black Soil,Flowering,67,39,38,251.59,2
Wheat,Black Soil,Flowering,68,40,35,192.08,2
Wheat,Black Soil,Flowering,69,41,32,120.88,2
Wheat,Black Soil,Flowering,70,42,29,60.05,2
Wheat,Black Soil,Flowering,71,43,26,15.28,0
Wheat,Black Soil,Flowering,72,44,23,18.78,0
Wheat,Black Soil,Flowering,73,45,20,9.08,0
Wheat,Black Soil,Flowering,74,46,17,7.61,0
Wheat,Black Soil,Flowering,75,25,80,14.84,0
Wheat,Black Soil,Flowering,76,26,77,65.46,0
Wheat,Black Soil,Flowering,77,27,74,92.77,0
Wheat,Black Soil,Flowering,78,28,71,206.52,0
Wheat,Black Soil,Flowering,79,29,68,251.24,0
Wheat,Black Soil,Flowering,80,30,65,180.25,0
Wheat,Black Soil,Flowering,81,31,62,130.77,0
Wheat,Black Soil,Flowering,82,32,59,47.74,0
Wheat,Black Soil,Flowering,83,33,56,7.74,0
Wheat,Black Soil,Flowering,84,34,53,24.86,0
Wheat,Black Soil,Flowering,85,35,50,1.99,0
Wheat,Black Soil,Flowering,86,36,47,11.44,0
Wheat,Black Soil,Flowering,87,37,44,24.73,0
Wheat,Black Soil,Flowering,88,38,41,45.05,0
Wheat,Black Soil,Flowering,89,39,38,106.12,0
Wheat,Black Soil,Flowering,90,40,35,209.78,0
Wheat,Black Soil,Flowering,91,41,32,246.13,0
Wheat,Black Soil,Flowering,92,42,29,184.21,0
Wheat,Black Soil,Flowering,93,43,26,135.67,0
Wheat,Black Soil,Flowering,94,44,23,57.05,0
Wheat,Black Soil,Flowering,95,45,20,12.84,0
Wheat,Black Soil,Flowering,96,46,17,16.75,0
Wheat,Black Soil,Flowering,97,25,81,10.72,0
Wheat,Black Soil,Flowering,98,26,79,7.38,0
Wheat,Black Soil,Flowering,99,27,76,19.91,0
Wheat,Black Soil,Flowering,100,28,73,39.86,0
Wheat,Black Soil,Pollination,1,29,70,86.88,1
Wheat,Black Soil,Pollination,2,30,67,214.01,1
Wheat,Black Soil,Pollination,3,31,64,252.72,1
Wheat,Black Soil,Pollination,4,32,61,177.31,1
Wheat,Black Soil,Pollination,5,33,58,125.21,1
Wheat,Black Soil,Pollination,6,34,55,69.43,1
Wheat,Black Soil,Pollination,7,35,52,6.7,1
Wheat,Black Soil,Pollination,8,36,49,3.41,1
Wheat,Black Soil,Pollination,9,37,46,18.65,1
Wheat,Black Soil,Pollination,10,38,43,9.58,1
Wheat,Black Soil,Pollination,11,39,40,1.44,1
Wheat,Black Soil,Pollination,12,40,37,59.83,1
Wheat,Black Soil,Pollination,13,41,34,111.05,1
Wheat,Black Soil,Pollination,14,42,31,205.69,1
Wheat,Black Soil,Pollination,15,43,28,247.05,1
Wheat,Black Soil,Pollination,16,44,25,180.13,1
Wheat,Black Soil,Pollination,17,45,22,113.03,1
Wheat,Black Soil,Pollination,18,46,19,67.09,1
Wheat,Black Soil,Pollination,19,25,80,26.06,1
Wheat,Black Soil,Pollination,20,26,77,0,1
Wheat,Black Soil,Pollination,21,27,74,21.37,1
Wheat,Black Soil,Pollination,22,28,71,0,1
Wheat,Black Soil,Pollination,23,29,68,9.28,1
Wheat,Black Soil,Pollination,24,30,65,57.16,1
Wheat,Black Soil,Pollination,25,31,62,100.48,1
Wheat,Black Soil,Pollination,26,32,59,193.53,1
Wheat,Black Soil,Pollination,27,33,56,251.02,1
Wheat,Black Soil,Pollination,28,34,53,168.99,1
Wheat,Black Soil,Pollination,29,35,50,104.25,1
Wheat,Black Soil,Pollination,30,36,47,58.82,1
Wheat,Black Soil,Pollination,31,37,44,6.18,1
Wheat,Black Soil,Pollination,32,38,41,18.48,1
Wheat,Black Soil,Pollination,33,39,38,0,1
Wheat,Black Soil,Pollination,34,40,35,0.37,1
Wheat,Black Soil,Pollination,35,41,32,10.29,1
